Condition;X;Y;Z;Time stamp
Change Blindness;0.06522562;0.8001962;0.1619595;11/25/2020 4:10:54 PM
Change Blindness;0.07262905;0.8047886;0.1582406;11/25/2020 4:10:54 PM
Change Blindness;0.08673283;0.8066129;0.1556232;11/25/2020 4:10:54 PM
Change Blindness;0.09251179;0.8073547;0.1546454;11/25/2020 4:10:54 PM
Change Blindness;0.1014641;0.8076402;0.1549756;11/25/2020 4:10:54 PM
Change Blindness;0.1162423;0.8105892;0.1523393;11/25/2020 4:10:54 PM
Change Blindness;0.1235962;0.8120209;0.1511301;11/25/2020 4:10:54 PM
Change Blindness;0.1370782;0.8154526;0.1459635;11/25/2020 4:10:54 PM
Change Blindness;0.1438451;0.8171119;0.1435848;11/25/2020 4:10:54 PM
Change Blindness;0.1325134;0.8205198;0.1434026;11/25/2020 4:10:54 PM
Change Blindness;0.122177;0.8194126;0.1459385;11/25/2020 4:10:54 PM
Change Blindness;0.111401;0.8195412;0.1476587;11/25/2020 4:10:54 PM
Change Blindness;0.09103943;0.8205009;0.1491863;11/25/2020 4:10:55 PM
Change Blindness;0.08122803;0.8212922;0.149134;11/25/2020 4:10:55 PM
Change Blindness;0.06216326;0.8212702;0.1516923;11/25/2020 4:10:55 PM
Change Blindness;0.04395693;0.8193353;0.1567308;11/25/2020 4:10:55 PM
Change Blindness;0.04395693;0.8193353;0.1567308;11/25/2020 4:10:55 PM
Change Blindness;0.02196695;0.8166187;0.1628264;11/25/2020 4:10:55 PM
Change Blindness;0.007065231;0.8105719;0.1668211;11/25/2020 4:10:55 PM
Change Blindness;-0.0002734095;0.8079122;0.1687211;11/25/2020 4:10:55 PM
Change Blindness;-0.0002734095;0.8079122;0.1687211;11/25/2020 4:10:55 PM
Change Blindness;-0.0105933;0.8085927;0.1637373;11/25/2020 4:10:55 PM
Change Blindness;-0.01624713;0.8085021;0.1619689;11/25/2020 4:10:55 PM
Change Blindness;-0.02064953;0.8080101;0.1611143;11/25/2020 4:10:55 PM
Change Blindness;-0.02064953;0.8080101;0.1611143;11/25/2020 4:10:55 PM
Change Blindness;-0.02056434;0.8075401;0.1615097;11/25/2020 4:10:55 PM
Change Blindness;-0.0201064;0.8066925;0.1626923;11/25/2020 4:10:55 PM
Change Blindness;-0.01756822;0.8059084;0.1648342;11/25/2020 4:10:55 PM
Change Blindness;-0.01381739;0.8065649;0.1662252;11/25/2020 4:10:55 PM
